1	447.228144989
2	863.591233483
4	1650.66206409
10	1861.05557777
20	528.696880455
30	411.691807473
40	434.863742694
50	383.441714194
60	348.837984284
70	293.719716611
80	372.245126313


1	365.017878427
2	378.858024691
4	368.591037545
10	444.372829162
20	376.811594203
30	432.108755462
40	424.521072797
50	486.533449175
60	468.09323653
70	2098.93351486
80	3050.63517624


1	1871.27532777
2	1936.72839506
4	2054.501413
10	4927.84760268
20	37320.7309389
30	69122.8354103
40	85567.816092
50	111179.843614
60	130863.584257
70	171127.751305
80	148039.005189


1	54.8259833135
2	65.1419753086
4	74.0540976988
10	63.721846242
20	205.797101449
30	3386.24372876
40	6111.55555556
50	18890.0086881
60	40855.5598013
70	65311.5498071
80	63992.6641617


