1	1638.88000426
2	3458.78040653
4	6532.2403279
10	14820.9561004
20	25869.3725216
30	19361.1562758
40	24731.170614
50	16015.3928167
60	16702.8543628
70	14549.9316917
80	12381.0697888



1	140.272413092
2	141.043180023
4	143.552385908
10	146.233541981
20	145.920336359
30	142.3512041
40	146.263516845
50	145.042709794
60	147.469556474
70	153.804579328
80	151.723098617



1	470.014230535
2	437.195321682
4	468.713333945
10	528.410317289
20	627.143140533
30	1314.37382335
40	1234.45545942
50	2264.84649022
60	2471.03276569
70	3280.50785741
80	4146.9545046



1	27.1279528359
2	26.9768203626
4	47.5226755634
10	53.1373659976
20	51.0368227289
30	175.818192456
40	385.712091531
50	1043.7915812
60	1359.60866304
70	1746.79497456
80	2588.92674342



