1	2157.8256495
2	4237.32089304
4	8083.99754752
10	18439.3641484
20	34831.1371498
30	49852.6980911
40	61358.2073636
50	70319.4566637
60	81226.4892894
70	87943.6953899
80	95064.3811149


1	145.750988142
2	137.934288545
4	141.382664754
10	153.837812438
20	149.220600786
30	144.889364262
40	143.907086077
50	142.496291627
60	139.451188392
70	140.740998972
80	139.548676934


1	317.749505929
2	334.219342256
4	353.333003578
10	388.426017965
20	424.813713446
30	451.781536199
40	486.577144757
50	522.432692444
60	539.637943852
70	565.722583129
80	588.025384469


1	19.6913599308
2	24.5362608326
4	33.4775189197
10	42.3823896188
20	45.7665973952
30	55.5607995187
40	76.1395359952
50	106.044765863
60	122.613657437
70	154.623361899
80	182.533595441


