1	477.612139225
2	944.580689876
4	1806.51911683
10	4154.3034617
20	6981.16477159
30	6981.53688292
40	4837.12345835
50	5663.55638496
60	6849.61814765
70	7857.00484379
80	5143.61670231


1	383.703083578
2	330.182023423
4	371.490758845
10	388.243598794
20	372.336362942
30	350.254340004
40	348.223755803
50	337.977781962
60	336.239103362
70	343.099427602
80	339.77124056


1	1712.01339473
2	1787.78044306
4	1842.32854982
10	2019.02714497
20	2452.93286489
30	3729.49294242
40	7144.7855972
50	7125.30596874
60	5755.37048568
70	4656.51897392
80	8842.08344668


1	84.5357890331
2	64.2826301679
4	62.3536355923
10	67.2469999358
20	103.078935309
30	284.970557639
40	852.142650523
50	1449.47985314
60	2764.51587796
70	4012.89802841
80	6531.49652198


