1	522.777837959
2	1001.47493854
4	1920.00333319
10	4408.0530649
20	7228.3488188
30	6883.88913888
40	6407.21975934
50	6011.28258116
60	6292.39025366
70	5344.73190851
80	5989.15135608


1	360.712179416
2	358.123512672
4	355.062714292
10	381.486018481
20	354.077179003
30	348.16270996
40	334.689397211
50	334.972733649
60	333.275063832
70	339.248076228
80	362.666043395


1	1552.19408005
2	1638.93095472
4	1728.2670023
10	1887.07030836
20	2373.58750712
30	3762.08679737
40	5184.36919619
50	6237.72875595
60	6456.79051584
70	8025.52973897
80	7415.98357235


1	41.7214721775
2	47.5122730525
4	56.0813332755
10	63.5223371595
20	102.688837704
30	314.681615479
40	795.598081395
50	1834.99629887
60	2849.37863522
70	4855.59234731
80	5700.41514327


