1	485.030618432
2	944.593279753
4	1776.87437521
10	1327.41181017
20	543.295075306
30	415.403173672
40	256.94675818
50	342.430604152
60	338.52674228
70	280.803437594
80	170.478780124


1	346.201401291
2	362.63581205
4	370.564848849
10	429.697304352
20	416.871015204
30	421.947697738
40	420.124481328
50	400.934215648
60	377.952755906
70	3862.39620403
80	6129.78889758


1	1715.89504053
2	1754.62113729
4	1879.82897007
10	7102.05310978
20	36275.13487
30	68376.3837638
40	135912.863071
50	118902.296613
60	143131.889764
70	169307.236062
80	316204.065676


1	64.2044236846
2	74.843375194
4	91.1458255195
10	65.9500025099
20	178.055419323
30	3483.15417937
40	19426.8931535
50	26795.0564422
60	33826.9685039
70	76257.1767497
80	147171.618452


