1	2163.089614
2	4242.35759842
4	8014.27657362
10	18309.2856334
20	34681.8748292
30	49937.7482737
40	60917.2153653
50	70812.1942441
60	79082.4569121
70	86035.8571048
80	93877.6952045


1	121.676986107
2	137.926700913
4	144.790133313
10	152.331934379
20	140.698110126
30	133.587633434
40	134.212181714
50	133.314257962
60	133.797528842
70	136.08525024
80	136.436505942


1	340.6955611
2	333.349042525
4	354.28257778
10	393.806259987
20	435.756766365
30	463.239042985
40	498.339851763
50	525.764928674
60	552.213988398
70	583.043221611
80	590.219056666


1	26.7302467424
2	26.5516753853
4	33.4690584899
10	43.4224271919
20	52.3082983446
30	59.9794993901
40	84.0937559828
50	109.219992997
60	138.432741796
70	162.096922879
80	195.13892143


